full_name,2020/21 ,2020/21(*)
Stephen Curry,"$43,006,362","$50,899,072"
Russell Westbrook,"$41,358,814","$48,949,159"
Chris Paul,"$41,358,814","$48,949,159"
John Wall,"$41,254,920","$48,826,198"
James Harden,"$41,254,920","$48,826,198"
Kevin Durant,"$40,108,950","$47,469,914"
LeBron James,"$39,219,566","$46,417,307"
Paul George,"$35,450,412","$41,956,422"
Klay Thompson,"$35,361,360","$41,851,026"
Mike Conley,"$34,502,132","$40,834,109"
Jimmy Butler,"$34,379,100","$40,688,498"
Kawhi Leonard,"$34,379,100","$40,688,498"
Kemba Walker,"$34,379,100","$40,688,498"
Tobias Harris,"$34,358,850","$40,664,532"
Blake Griffin,"$33,900,241","$40,121,756"
Kyrie Irving,"$33,722,850","$39,911,810"
Khris Middleton,"$33,051,724","$39,117,516"
Anthony Davis,"$32,742,000","$38,750,950"
Damian Lillard,"$31,626,953","$37,431,265"
Kevin Love,"$31,258,256","$36,994,903"
Pascal Siakam,"$30,559,200","$36,167,554"
Ben Simmons,"$30,559,200","$36,167,554"
Kyle Lowry,"$30,500,000","$36,097,489"
Steven Adams,"$29,592,695","$35,023,672"
Joel Embiid,"$29,542,010","$34,963,685"
Andrew Wiggins,"$29,542,010","$34,963,685"
Nikola Jokic,"$29,542,010","$34,963,685"
Devin Booker,"$29,467,800","$34,875,855"
Karl-Anthony Towns,"$29,467,800","$34,875,855"
Kristaps Porzingis,"$29,467,800","$34,875,855"
CJ McCollum,"$29,354,152","$34,741,350"
Bradley Beal,"$28,751,774","$34,028,421"
Andre Drummond,"$28,751,774","$34,028,421"
D'Angelo Russell,"$28,649,250","$33,907,081"
Gordon Hayward,"$28,500,000","$33,730,441"
Otto Porter,"$28,489,239","$33,717,705"
DeMar DeRozan,"$27,739,975","$32,830,932"
Giannis Antetokounmpo,"$27,528,088","$32,580,159"
Rudy Gobert,"$27,525,281","$32,576,837"
Al Horford,"$27,500,000","$32,546,916"
Brandon Ingram,"$27,285,000","$32,292,459"
Jamal Murray,"$27,285,000","$32,292,459"
Jrue Holiday,"$27,026,011","$31,985,939"
Nikola Vucevic,"$26,000,000","$30,771,630"
Jaylen Brown,"$25,035,118","$29,629,669"
Buddy Hield,"$24,931,817","$29,507,409"
Draymond Green,"$22,246,956","$26,329,811"
Harrison Barnes,"$22,215,909","$26,293,066"
Fred VanVleet,"$21,250,000","$25,149,890"
Victor Oladipo,"$21,000,000","$24,854,009"
Malcolm Brogdon,"$20,700,000","$24,498,951"
Julius Randle,"$19,845,000","$23,487,038"
Domantas Sabonis,"$19,800,000","$23,433,780"
Gary Harris,"$19,610,714","$23,209,755"
Zach LaVine,"$19,500,000","$23,078,722"
Danilo Gallinari,"$19,500,000","$23,078,722"
Jerami Grant,"$19,050,000","$22,546,136"
Tim Hardaway Jr,"$18,975,000","$22,457,372"
Terry Rozier,"$18,900,000","$22,368,608"
Aaron Gordon,"$18,136,364","$21,464,826"
Goran Dragic,"$18,000,000","$21,303,436"
Myles Turner,"$18,000,000","$21,303,436"
Bogdan Bogdanovic,"$18,000,000","$21,303,436"
Clint Capela,"$18,000,000","$21,303,436"
Bojan Bogdanovic,"$17,850,000","$21,125,907"
LaMarcus Aldridge,"$17,628,340","$20,863,567"
Gorgui Dieng,"$17,587,688","$20,815,454"
Evan Fournier,"$17,150,000","$20,297,440"
Ricky Rubio,"$17,000,000","$20,119,912"
Eric Bledsoe,"$16,875,000","$19,971,971"
Eric Gordon,"$16,869,267","$19,965,186"
Caris LeVert,"$16,203,704","$19,177,476"
Joe Harris,"$16,071,429","$19,020,925"
James Johnson,"$16,047,100","$18,992,131"
Dennis Schroeder,"$15,500,000","$18,344,625"
Cody Zeller,"$15,415,730","$18,244,890"
Danny Green,"$15,365,853","$18,185,859"
Davis Bertans,"$15,000,000","$17,752,863"
Andre Iguodala,"$15,000,000","$17,752,863"
Jonas Valanciunas,"$15,000,000","$17,752,863"
Marcus Morris,"$14,883,721","$17,615,244"
Rudy Gay,"$14,500,000","$17,161,101"
Kelly Oubre,"$14,375,000","$17,013,161"
Dejounte Murray,"$14,286,000","$16,907,827"
Will Barton,"$13,723,214","$16,241,756"
